pto. sup. terrestre,Fecha/Date,Pais/Country,Lugar/Place,Coordenadas del centro de la imagen/Center cordinates,Orientation,Observaciones/comments,Enlace a la ficha/Link,Enlace  a la imagen/Image,Autor/Author of clasification,Calidad/Cuality,Focal/ Focal Length,Cámara/ Model,T. Exposición/ Shutter,Apertura/ Aperture,ISO,Clasificada(1)/ No Clasificada(0),Other links(twitter and other),Similar images,Tilt
,2011:02:12 10:10:22,USA-NEW JERSEY,ATLANTIC CITY AT NIGHT,"39.3, -74.4",Nadir: Oeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-26570,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26570.JPG,Alex,,200 mm,NIKON D3S,0.066666666666667,2.8,12800,1,,,
,2011:02:12 10:10:26,USA-NEW JERSEY,"PHILADELPHIA, CAMDEN AT NIGHT ","39.9, -75.0",Nadir: noroeste,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26571,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26571.JPG,Alex,,200 mm,NIKON D3S,0.066666666666667,2.8,12800,1,,,
,2011:02:12 10:10:34,USA-NEW YORK,NEW YORK CITY AT NIGHT,"40.6, -74.0",nadir: norte,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-26572,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26572.jpg,"Alex, Marian",,200 mm,NIKON D3S,0.066666666666667,2.8,12800,1,,,36
,2011:02:12 12:53:02,JAPAN,TOKYO BAY AREA AT NIGHT,"34.8 , 137.7",Nadir: Este,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26582,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26582.JPG,"Alex, Marian",,80 mm,NIKON D3S,0.066666666666667,2.8,12800,1,,	26574 - 	26581,44
,"2011:02:13 20:54:09
",,," 31°36'27.44""N,   6° 4'8.80""E",,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26921,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26921.JPG,Alex,,200 mm,NIKON D3S,0.066666666666667,4,12800,0,,	26915 - 26921,
,2011:02:13 20:55:11,Tunez,TUNIS AT NIGHT,"36.8, 10.3",nadir: norte,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-26922,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26922.jpg,Alex,,200 mm,NIKON D3S,0.066666666666667,4,12800,1,,	26922 - 26924,27
,2011:02:13 20:55:25,Tunez,TUNIS AT NIGHT,"36.8, 10.3",nadir: norte,despejado,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26925,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26925.JPG,Alex,,200 mm,NIKON D3S,0.066666666666667,4,12800,1,,26925 - 	26927,16
,2011:02:13 20:55:36,Tunez,AL MUNASTIR TO SOUSSE AT NIGHT,"35.9, 10.7",Nadir: suroeste,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26928,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26928.JPG,Alex,,200 mm,NIKON D3S,0.066666666666667,4,12800,1,,26928 - 	26929,
,2011:02:13 20:55:39,Tunez,SOUSSE TO NABEUL,"36.0, 11.0",Nadir: Suroeste,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26930,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26930.JPG,Alex,,200 mm,NIKON D3S,0.066666666666667,4,12800,1,,,12
,2011:02:13 20:55:41,Tunez,AL MUNASTIR TO SOUSSE AT NIGHT,"35.8, 10.6",Nadir: Suroeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-26931,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26931.jpg,Alex,,200 mm,NIKON D3S,0.066666666666667,4,12800,1,,,
